"gid"|"categoria"|"nome"|"citta"|"indirizzo"|"numero"|"cap"|"fonte"|"note"|"pubblicabile"|"verificato"|"datains"|"utenins"|"datamod"|"utenmod"|"dataver"|"utenver"|"geom"|"distanza_minima"|"comune_ist"|"comune_nom"
"13958"|"slot"|"EA690157156H"|"DORMELLETTO (NO)"|"CORSO CAVOUR 40/42, DORMELLETTO (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F000096F5F938C2761C417B6C3E0DC8525341"|"300"|"003062"|"Dormelletto"
"13959"|"slot"|"EA010003355R"|"VERBANIA (VB)"|"CORSO CAIROLI 34, VERBANIA (VB)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F000013897C40CB781C412DE4F45548685341"|"500"|"103072"|"VERBANIA"
"13960"|"slot"|"EA010194704U"|"DORMELLETTO (NO)"|"CORSO CAVOUR 50, DORMELLETTO (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000AECC0DD9C1771C418F0D4062A9525341"|"300"|"003062"|"Dormelletto"
"13961"|"slot"|"EA010001178A"|"SAN SALVATORE MONFERRATO"|"VIA PANZA 74, SAN SALVATORE MONFERRATO (AL)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00008AE39FAC316E1C4152A45C03C6015341"|"300"|"006154"|"San Salvatore Monferrato"
"13962"|"slot"|"EA010028183S"|"SAN SALVATORE MONFERRATO"|"PIAZZA GENERAL CARMAGNOLA 5, SAN SALVATORE MONFERRATO (AL)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00008E6C40A5BE6E1C41A63943FFB3015341"|"300"|"006154"|"San Salvatore Monferrato"
"13963"|"slot"|"EA010019937X"|"SAN SALVATORE MONFERRATO"|"PIAZZA CARMAGNOLA 27, SAN SALVATORE MONFERRATO (AL)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000A057ACC7146F1C41A97DD70CBC015341"|"300"|"006154"|"San Salvatore Monferrato"
"13964"|"slot"|"EA010038866S"|"SAN SALVATORE MONFERRATO"|"PIAZZA CARMAGNOLA 1, SAN SALVATORE MONFERRATO (AL)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00002394799C966F1C412EEB77D7B3015341"|"300"|"006154"|"San Salvatore Monferrato"
"13965"|"slot"|"EA010174152A"|"COMIGNAGO (NO)"|"VIA CIRCONVALAZIONE 9/A, COMIGNAGO (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000D6D94E365F731C41347A13343E4F5341"|"300"|"003052"|"Comignago"
"13966"|"slot"|"EA010171384C"|"LESA (NO)"|"VIA PORTICI 12, LESA (NO)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F00002EE62A7285741C41447F50054E5C5341"|"300"|"003084"|"Lesa"
"13967"|"slot"|"EA010014643A"|"CASTELLETTO MONFERRATO"|"VIA ROMA 24, CASTELLETTO MONFERRATO (AL)"|""|""|"Agenzia Dogane e Monopoli - Comuni"|""|"S"|"N"|"2018-08-04"|"msl_campus"|""|"libera"|""|""|"0101000020787F0000DB6E1E081D6D1C418445A5A72C005341"|"300"|"006051"|"Castelletto Monferrato"
